tickers,name,sector,market,8월1일psr,8월1일pbr2,8월1일_s_return,8월1일_l_return,순매수강도(20일),s_growth,l_growth,roe,deb,3주후 수익률,수익률상위권2,cluster8월1일_6차와같은방식
a138580,비즈니스온,소프트웨어,kosdaq,5.50288168,3.492828947,-0.1432,0.0268456375838926,0.03893304616828672,0.310447761,0.408818208,16.84,37.49,0.006578947,1,0
a083790,크리스탈지노믹스,건강관리,kosdaq,7.460329315,1.366788321,0.2159090909090909,0.0107962213225371,0.07019106149785272,-0.089622642,0.402231621,-12.05,66.79,-0.088807786,0,0
a253590,네오셈,반도체,kosdaq,2.39376186,2.7125,0.4668769716088328,-0.0106382978723404,-0.02657159203462233,1.008064516,0.400395047,17.66,110.04,0.107142857,1,0
a042700,한미반도체,반도체,kospi,15.86666278,13.3237377,1.5011709601873535,0.0842639593908629,0.005008845535726729,-0.122186495,0.396065523,25.04,16.75,0.750819672,1,0
a217730,강스템바이오텍,건강관리,kosdaq,6.738054777,2.228328076,-0.0570032573289902,0.026595744680851,-0.11296779904541195,0.314516129,0.395335953,-34.46,70.53,-0.086750789,0,1
a237690,에스티팜,건강관리,kosdaq,5.794279663,4.280655738,-0.1466666666666666,0.0185676392572944,-0.06386615108776156,0.505434783,0.387650868,5.45,67.3,0.049180328,1,1
a012160,영흥,철강,kospi,0.131584385,0.280515192,-0.0743243243243243,-0.0101156069364161,0.03516656858771186,0.290748899,0.387365877,-0.19,170.33,-0.095112285,0,0
a052900,KX하이텍,반도체,kosdaq,0.457702459,0.633658537,-0.0511322132943754,0.0196232339089481,-0.11828716670119252,0.490943756,0.383975002,13.59,64.49,-0.039911308,0,1
a107590,미원홀딩스,화학,kospi,0.441417985,0.993401015,-0.0584737363726461,-0.0175801447776628,0.05210301588373102,0.184859991,0.383864459,9.54,89.57,-0.035532995,0,0
a119860,커넥트웨이브,"소매, 유통",kosdaq,1.152670265,0.741700155,-0.2397820163487738,0.0,-0.006978031014156461,0.333136966,0.382459431,1.65,60.27,-0.13755796,0,0
a104830,원익머트리얼즈,화학,kosdaq,0.625736797,0.813089983,0.099047619047619,0.0140597539543057,-0.07422862184787993,0.870936595,0.380809452,13.78,30.91,-0.020373514,0,1
a051780,큐로홀딩스,필수소비재,kosdaq,0.726258449,1.323134328,-0.0413625304136253,0.0154639175257731,-0.06250413429414206,0.106557377,0.37793275,-7.08,120.05,-0.019900498,0,1
